gene,Fish_kME
Ofaveolata000002,0
Ofaveolata000004,0
Ofaveolata000006,0
Ofaveolata000009,0
Ofaveolata000010,0.385359854953068
Ofaveolata000011,0
Ofaveolata000012,0
Ofaveolata000013,0
Ofaveolata000014,0
Ofaveolata000015,0
Ofaveolata000016,0
Ofaveolata000018,0
Ofaveolata000019,0
Ofaveolata000020,0
Ofaveolata000021,0
Ofaveolata000022,0
Ofaveolata000023,0
Ofaveolata000028,0
Ofaveolata000037,0
Ofaveolata000039,0
Ofaveolata000042,0
Ofaveolata000045,0
Ofaveolata000047,0
Ofaveolata000048,0
Ofaveolata000049,0
Ofaveolata000050,0
Ofaveolata000051,0
Ofaveolata000052,0
Ofaveolata000053,0
Ofaveolata000057,0
Ofaveolata000058,0
Ofaveolata000059,0
Ofaveolata000061,0
Ofaveolata000062,0
Ofaveolata000063,0
Ofaveolata000066,0
Ofaveolata000069,0
Ofaveolata000072,0
Ofaveolata000073,0
Ofaveolata000074,0
Ofaveolata000075,0
Ofaveolata000076,0
Ofaveolata000077,0
Ofaveolata000079,0
Ofaveolata000080,0
Ofaveolata000082,0
Ofaveolata000083,0
Ofaveolata000085,0
Ofaveolata000086,0
Ofaveolata000087,0
Ofaveolata000089,0
Ofaveolata000091,0
Ofaveolata000095,0
Ofaveolata000096,0
Ofaveolata000097,0
Ofaveolata000099,0
Ofaveolata000100,0
Ofaveolata000101,0
Ofaveolata000102,0
Ofaveolata000104,0
Ofaveolata000105,0
Ofaveolata000106,0
Ofaveolata000107,0
Ofaveolata000108,0
Ofaveolata000109,0
Ofaveolata000113,0
Ofaveolata000114,0
Ofaveolata000117,0
Ofaveolata000124,0
Ofaveolata000125,0
Ofaveolata000126,0
Ofaveolata000127,0
Ofaveolata000128,0
Ofaveolata000129,0
Ofaveolata000131,0
Ofaveolata000132,0
Ofaveolata000134,0
Ofaveolata000136,0
Ofaveolata000137,0
Ofaveolata000138,0
Ofaveolata000139,0
Ofaveolata000140,0
Ofaveolata000141,0
Ofaveolata000143,0
Ofaveolata000144,0
Ofaveolata000145,0
Ofaveolata000146,0
Ofaveolata000147,0
Ofaveolata000148,0
Ofaveolata000150,0
Ofaveolata000151,0
Ofaveolata000152,0
Ofaveolata000153,0
Ofaveolata000154,0
Ofaveolata000160,0
Ofaveolata000161,0
Ofaveolata000162,0
Ofaveolata000163,0.792520988608487
Ofaveolata000164,0.561644620414845
Ofaveolata000166,0
Ofaveolata000172,0
Ofaveolata000173,0
Ofaveolata000174,0
Ofaveolata000175,0
Ofaveolata000176,0
Ofaveolata000179,0
Ofaveolata000187,0
Ofaveolata000188,0
Ofaveolata000189,0
Ofaveolata000190,0
Ofaveolata000192,0
Ofaveolata000194,0
Ofaveolata000195,0
Ofaveolata000196,0
Ofaveolata000197,0
Ofaveolata000198,0
Ofaveolata000199,0
Ofaveolata000200,0.73455272706333
Ofaveolata000201,0
Ofaveolata000203,0
Ofaveolata000204,0
Ofaveolata000205,0
Ofaveolata000213,0
Ofaveolata000214,0
Ofaveolata000215,0
Ofaveolata000216,0
Ofaveolata000218,0
Ofaveolata000220,0
Ofaveolata000221,0
Ofaveolata000222,0
Ofaveolata000223,0
Ofaveolata000225,0
Ofaveolata000226,0
Ofaveolata000227,0
Ofaveolata000228,0
Ofaveolata000229,0
Ofaveolata000230,0
Ofaveolata000233,0
Ofaveolata000234,0
Ofaveolata000236,0
Ofaveolata000240,0
Ofaveolata000241,0
Ofaveolata000242,0
Ofaveolata000243,0
Ofaveolata000245,0
Ofaveolata000247,0
Ofaveolata000248,0
Ofaveolata000249,0
Ofaveolata000250,0
Ofaveolata000251,0
Ofaveolata000252,0
Ofaveolata000254,0
Ofaveolata000255,0
Ofaveolata000256,0
Ofaveolata000258,0
Ofaveolata000259,0
Ofaveolata000260,0
Ofaveolata000261,0
Ofaveolata000262,0
Ofaveolata000263,0
Ofaveolata000265,0.559911789941133
Ofaveolata000268,0
Ofaveolata000271,0
Ofaveolata000272,0
Ofaveolata000273,0
Ofaveolata000275,0
Ofaveolata000276,0
Ofaveolata000277,0
Ofaveolata000279,0
Ofaveolata000292,0
Ofaveolata000298,0
Ofaveolata000299,0
Ofaveolata000300,0
Ofaveolata000302,0
Ofaveolata000304,0
Ofaveolata000305,0
Ofaveolata000307,0
Ofaveolata000309,0
Ofaveolata000311,0
Ofaveolata000312,0
Ofaveolata000316,0
Ofaveolata000317,0
Ofaveolata000324,0
Ofaveolata000325,0
Ofaveolata000326,0
Ofaveolata000327,0
Ofaveolata000328,0
Ofaveolata000330,0
Ofaveolata000333,0
Ofaveolata000334,0
Ofaveolata000335,0
Ofaveolata000336,0
Ofaveolata000337,0
Ofaveolata000338,0
Ofaveolata000339,0
Ofaveolata000340,0
Ofaveolata000341,0
Ofaveolata000342,0
Ofaveolata000345,0
Ofaveolata000346,0
Ofaveolata000347,0
Ofaveolata000348,0
Ofaveolata000349,0
Ofaveolata000351,0
Ofaveolata000352,0
Ofaveolata000353,0
Ofaveolata000355,0
Ofaveolata000356,0
Ofaveolata000357,0
Ofaveolata000358,0
Ofaveolata000360,0
Ofaveolata000362,0
Ofaveolata000363,0
Ofaveolata000364,0
Ofaveolata000367,0
Ofaveolata000368,0
Ofaveolata000369,0
Ofaveolata000370,0
Ofaveolata000371,0
Ofaveolata000376,0
Ofaveolata000378,0
Ofaveolata000379,0
Ofaveolata000381,0
Ofaveolata000382,0
Ofaveolata000384,0
Ofaveolata000385,0
Ofaveolata000387,0
Ofaveolata000389,0
Ofaveolata000390,0
Ofaveolata000392,0
Ofaveolata000394,0
Ofaveolata000397,0
Ofaveolata000401,0
Ofaveolata000403,0
Ofaveolata000405,0
Ofaveolata000407,0
Ofaveolata000408,0
Ofaveolata000409,0
Ofaveolata000411,0
Ofaveolata000413,0
Ofaveolata000414,0
Ofaveolata000415,0
Ofaveolata000418,0
Ofaveolata000419,0
Ofaveolata000420,0
Ofaveolata000421,0
Ofaveolata000422,0
Ofaveolata000429,0
Ofaveolata000430,0
Ofaveolata000431,0
Ofaveolata000432,0
Ofaveolata000434,0
Ofaveolata000435,0
Ofaveolata000436,0
Ofaveolata000437,0
Ofaveolata000438,0
Ofaveolata000439,0
Ofaveolata000441,0
Ofaveolata000442,0
Ofaveolata000443,0
Ofaveolata000445,0
Ofaveolata000448,0
Ofaveolata000449,0
Ofaveolata000452,0
Ofaveolata000453,0
Ofaveolata000454,0
Ofaveolata000456,0
Ofaveolata000457,0
Ofaveolata000462,0
Ofaveolata000464,0
Ofaveolata000465,0
Ofaveolata000467,0
Ofaveolata000468,0
Ofaveolata000471,0
Ofaveolata000472,0
Ofaveolata000473,0
Ofaveolata000474,0
Ofaveolata000475,0
Ofaveolata000476,0
Ofaveolata000480,0
Ofaveolata000484,0
Ofaveolata000485,0
Ofaveolata000486,0
Ofaveolata000487,0
Ofaveolata000489,0
Ofaveolata000490,0
Ofaveolata000506,0
Ofaveolata000509,0
Ofaveolata000512,0
Ofaveolata000514,0
Ofaveolata000515,0
Ofaveolata000516,0
Ofaveolata000518,0
Ofaveolata000519,0
Ofaveolata000520,0
Ofaveolata000521,0
Ofaveolata000523,0
Ofaveolata000525,0
Ofaveolata000526,0
Ofaveolata000527,0
Ofaveolata000530,0
Ofaveolata000531,0
Ofaveolata000533,0
Ofaveolata000536,0
Ofaveolata000538,0
Ofaveolata000539,0
Ofaveolata000542,0
Ofaveolata000543,0
Ofaveolata000545,0.476651916274694
Ofaveolata000547,0
Ofaveolata000548,0
Ofaveolata000549,0
Ofaveolata000550,0
Ofaveolata000551,0
Ofaveolata000552,0
Ofaveolata000556,0
Ofaveolata000557,0
Ofaveolata000558,0
Ofaveolata000560,0
Ofaveolata000562,0
Ofaveolata000563,0
Ofaveolata000571,0
Ofaveolata000575,0
Ofaveolata000576,0
Ofaveolata000577,0
Ofaveolata000578,0
Ofaveolata000579,0
Ofaveolata000580,0
Ofaveolata000582,0
Ofaveolata000583,0
Ofaveolata000584,0
